,month,avg_low,avg_high,record_high,record_low,avg_preci,newcol,strnewcol
0,Jan,58,42,74,22,2.95,0,A
1,Feb,61,45,78,26,3.02,0,A
2,Mar,65,48,84,25,2.34,0,A
3,Apr,67,50,92,28,1.02,0,A
4,May,71,53,98,35,0.48,1,A
5,Jun,75,56,107,41,0.11,1,B
6,Jul,77,58,105,44,0.0,1,B
7,Aug,77,59,102,43,0.03,1,B
8,Sep,77,57,103,40,0.17,2,B
9,Oct,73,54,96,34,0.81,2,B
10,Nov,64,48,84,30,1.7,2,A
11,Dec,58,42,73,21,2.56,2,B
